"","X","Idshp","Produccion","Kg.arbol","Campo","Marco","Lon","Lat","DEM","slope","aspect","tri","tpi","roughness","flowdir","NDVISep","gNDVISep","SAVISep","NDVIEne","gNDVIEne","SAVIEne","DifNDVISepEne","DifgNDVISepEne","DifSAVISepEne","DG10ABRNOV","DG10ABROCT","DG10AGOOCT","DG10MAYNOV","DG10MAYOCT","DG12ABRNOV","DG12ABROCT","DG12AGOOCT","DG12MAYNOV","DG12MAYOCT","DG15ABRNOV","DG15ABROCT","DG15AGOOCT","DG15MAYNOV","DG15MAYOCT","CH10ABRNOV","CH10ABROCT","CH10AGOOCT","CH10MAYNOV","CH10MAYOCT","CH12ABRNOV","CH12ABROCT","CH12AGOOCT","CH12MAYNOV","CH12MAYOCT","CH15ABRNOV","CH15ABROCT","CH15AGOOCT","CH15MAYNOV","CH15MAYOCT","CH10ago","CH12ago","CH15ago","CH10sep","CH12sep","CH15sep","CH10oct","CH12oct","CH15oct","CH10nov","CH12nov","CH15nov"
"11",11,11,2020,107.514318463203,"Freirina",100,-71.0939332,-28.50088052,79,1.845447935,293.1985905,1.125,-1.125,3,16,0.560172485,0.675789475,0.283869684,0.514541383,0.621556878,0.269461066,-0.045631102,-0.054232597,-0.014408618,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"12",12,12,2020,96.2731184042347,"Freirina",100,-71.0939658,-28.50097927,79,1.845447935,293.1985905,1.125,-1.125,3,16,0.542296689,0.690860212,0.267288834,0.521954946,0.634946704,0.269129813,-0.020341743,-0.055913508,0.001840979,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"13",13,13,2020,82.6004070470305,"Freirina",100,-71.09397743,-28.50105128,80,1.454105826,270,0.75,0.5,3,32,0.540124744,0.680580795,0.263133019,0.537164738,0.636882901,0.276346892,-0.002960006,-0.043697894,0.013213873,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"14",14,14,2020,84.1711509308457,"Freirina",100,-71.09400967,-28.50113199,80,1.454105826,270,0.75,0.5,3,32,0.535439798,0.684309125,0.256197214,0.546493907,0.644912839,0.282135367,0.011054109,-0.039396286,0.025938153,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"15",15,15,2020,87.9037502218552,"Freirina",100,-71.09405265,-28.50123961,80,1.454105826,270,0.75,0.5,3,32,0.537662339,0.696275055,0.254856348,0.550246487,0.647722721,0.284994096,0.012584148,-0.048552334,0.030137748,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"16",16,16,2020,82.776108696768,"Freirina",100,-71.09405444,-28.50132982,80,1.454105826,270,0.75,0.5,3,32,0.542980549,0.701762736,0.257758021,0.550841254,0.652377248,0.292086899,0.007860705,-0.049385488,0.034328878,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"17",17,17,2020,89.5830312710778,"Freirina",100,-71.09408685,-28.50141955,80,1.454105826,270,0.75,0.5,3,32,0.525167048,0.67596674,0.244099393,0.567704555,0.650152445,0.303014696,0.042537507,-0.025814295,0.058915302,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"18",18,18,2020,87.2700403783298,"Freirina",100,-71.09411945,-28.5015183,80,1.454105826,270,0.75,0.5,3,32,0.541966422,0.685452223,0.271127701,0.552631582,0.637659431,0.29838711,0.01066516,-0.047792792,0.027259409,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"19",19,19,2020,93.4168099137217,"Freirina",100,-71.09414147,-28.50159918,80,1.454105826,270,0.75,0.5,3,32,0.476491843,0.662932813,0.219217956,0.492187474,0.629945695,0.26599282,0.015695631,-0.032987118,0.046774864,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"20",20,20,2020,89.5891903117019,"Freirina",100,-71.0940501,-28.50162765,80,1.454105826,270,0.75,0.5,3,32,0.425327503,0.635270536,0.200411528,0.502363245,0.630036592,0.280331552,0.077035742,-0.005233943,0.079920024,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"21",21,21,2020,82.3589747439188,"Freirina",100,-71.09401769,-28.50153792,80,1.454105826,270,0.75,0.5,3,32,0.529711373,0.683325589,0.254486144,0.566240041,0.650145769,0.311177284,0.036528668,-0.03317982,0.05669114,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"22",22,22,2020,82.6662494215001,"Freirina",100,-71.09399548,-28.50144803,80,1.454105826,270,0.75,0.5,3,32,0.529711373,0.683325589,0.254486144,0.566240041,0.650145769,0.311177284,0.036528668,-0.03317982,0.05669114,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"23",23,23,2020,83.6788350467086,"Freirina",100,-71.09396307,-28.5013583,80,1.454105826,270,0.75,0.5,3,32,0.518229152,0.676090121,0.245208099,0.55604884,0.64104563,0.292678177,0.037819688,-0.035044491,0.047470078,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"24",24,24,2020,89.5397862272953,"Freirina",100,-71.09392994,-28.50123248,80,1.454105826,270,0.75,0.5,3,32,0.513490353,0.694964051,0.245194271,0.550415612,0.65573138,0.294129014,0.036925259,-0.039232671,0.048934743,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"25",25,25,2020,102.569743611111,"Freirina",100,-71.09390809,-28.50116063,80,2.084309673,305.5376778,0.875,-0.375,3,64,0.528877862,0.678442001,0.259024769,0.574319612,0.671111166,0.31388253,0.04544175,-0.007330835,0.054857761,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
