"","X","Idshp","Produccion","Kg.arbol","Campo","Marco","Lon","Lat","DEM","slope","aspect","tri","tpi","roughness","flowdir","NDVISep","gNDVISep","SAVISep","NDVIEne","gNDVIEne","SAVIEne","DifNDVISepEne","DifgNDVISepEne","DifSAVISepEne","DG10ABRNOV","DG10ABROCT","DG10AGOOCT","DG10MAYNOV","DG10MAYOCT","DG12ABRNOV","DG12ABROCT","DG12AGOOCT","DG12MAYNOV","DG12MAYOCT","DG15ABRNOV","DG15ABROCT","DG15AGOOCT","DG15MAYNOV","DG15MAYOCT","CH10ABRNOV","CH10ABROCT","CH10AGOOCT","CH10MAYNOV","CH10MAYOCT","CH12ABRNOV","CH12ABROCT","CH12AGOOCT","CH12MAYNOV","CH12MAYOCT","CH15ABRNOV","CH15ABROCT","CH15AGOOCT","CH15MAYNOV","CH15MAYOCT","CH10ago","CH12ago","CH15ago","CH10sep","CH12sep","CH15sep","CH10oct","CH12oct","CH15oct","CH10nov","CH12nov","CH15nov"
"117",117,117,2020,87.2600620636045,"Freirina",100,-71.09317958,-28.50047706,80,1.938484153,270,1,-1,2,32,0.436112269,0.636276841,0.211384863,0.543657912,0.661252916,0.291597068,0.107545643,0.024976075,0.080212206,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"118",118,118,2020,94.2295285581297,"Freirina",100,-71.0932016,-28.50055793,81,2.398265815,315,1,-0.25,3,64,0.436112269,0.636276841,0.211384863,0.543657912,0.661252916,0.291597068,0.107545643,0.024976075,0.080212206,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"119",119,119,2020,94.3861514121467,"Freirina",100,-71.09324441,-28.50065653,81,2.398265815,315,1,-0.25,3,64,0.484734411,0.660430312,0.235218495,0.546752313,0.658629954,0.294539869,0.062017902,-0.001800358,0.059321374,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"120",120,120,2020,96.1489969347319,"Freirina",100,-71.09327665,-28.50073724,81,2.398265815,315,1,-0.25,3,64,0.501922248,0.683908045,0.240089893,0.55770662,0.668927014,0.292349726,0.055784372,-0.014981031,0.052259833,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"121",121,121,2020,95.2743186209624,"Freirina",100,-71.09329903,-28.50083615,83,2.084309673,324.4623222,1.25,1.25,3,32,0.515418517,0.675596714,0.241403043,0.555472247,0.674062073,0.289906085,0.04005373,-0.001534641,0.048503041,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"122",122,122,2020,99.9911598181819,"Freirina",100,-71.09331102,-28.5009262,81,3.248691813,296.5650512,1.25,0,4,16,0.45674583,0.659856975,0.21138154,0.578108007,0.684332669,0.308351606,0.121362177,0.024475694,0.096970066,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"123",123,123,2020,100.123552175824,"Freirina",100,-71.09334344,-28.50101593,81,3.248691813,296.5650512,1.25,0,4,16,0.420276504,0.624670565,0.190794989,0.604921396,0.695306838,0.334973514,0.184644892,0.070636272,0.144178525,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"124",124,124,2020,93.8528526428729,"Freirina",100,-71.09337585,-28.50110567,82,2.422585452,270,1.375,0.875,4,32,0.461474041,0.660323501,0.223741204,0.601601589,0.684210539,0.338189304,0.140127548,0.023887038,0.1144481,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"125",125,125,2020,94.164399771664,"Freirina",100,-71.09338749,-28.50117768,82,2.422585452,270,1.375,0.875,4,32,0.461474041,0.660323501,0.223741204,0.601601589,0.684210539,0.338189304,0.140127548,0.023887038,0.1144481,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"126",126,126,2020,86.9468480231285,"Freirina",100,-71.09343154,-28.50133942,81,1.71353711,188.1301024,0.875,0.125,4,2,0.5229277,0.679961085,0.244771615,0.564414904,0.667847276,0.297509402,0.041487204,-0.01211381,0.052737787,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"127",127,127,2020,86.4116851423694,"Freirina",100,-71.09346449,-28.50145621,81,1.71353711,188.1301024,0.875,0.125,4,2,0.473549486,0.648687363,0.226715684,0.538737434,0.6634354,0.289291203,0.065187948,0.014748037,0.062575519,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"128",128,128,2020,82.9279599204799,"Freirina",100,-71.09349708,-28.50155497,81,1.71353711,188.1301024,0.875,0.125,4,2,0.422528302,0.6075598,0.18320775,0.455146765,0.592039824,0.222604126,0.032618463,-0.015519977,0.039396375,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"129",129,129,2020,87.6303495514011,"Freirina",100,-71.09339515,-28.50156556,80,1.71353711,188.1301024,0.875,0.125,4,2,0.440850283,0.649735451,0.199748755,0.450247818,0.603034139,0.232388824,0.009397535,-0.046701312,0.03264007,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"130",130,130,2020,86.8643502598048,"Freirina",100,-71.09336291,-28.50148485,81,1.71353711,188.1301024,0.875,0.125,4,2,0.451505004,0.632455647,0.199844912,0.465324395,0.607361972,0.243686542,0.013819391,-0.025093675,0.04384163,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"131",131,131,2020,83.4102170335221,"Freirina",100,-71.09332978,-28.50135903,81,1.71353711,188.1301024,0.875,0.125,4,2,0.510638288,0.679645181,0.238147736,0.551971325,0.651411116,0.296534002,0.041333037,-0.028234065,0.058386266,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"132",132,132,2020,87.9060080300292,"Freirina",100,-71.09330793,-28.50128718,82,2.422585452,270,1.375,0.875,4,32,0.510638288,0.679645181,0.238147736,0.551971325,0.651411116,0.296534002,0.041333037,-0.028234065,0.058386266,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"133",133,133,2020,100.606897959941,"Freirina",100,-71.09327516,-28.50117941,83,1.370976822,225,1.125,1.125,2,4,0.431355172,0.619238496,0.201295108,0.605624136,0.694534898,0.334638715,0.174268964,0.075296402,0.133343607,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"134",134,134,2020,100.428569988408,"Freirina",100,-71.09326335,-28.50109838,83,1.370976822,225,1.125,1.125,2,4,0.431355172,0.619238496,0.201295108,0.605624136,0.694534898,0.334638715,0.174268964,0.075296402,0.133343607,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"135",135,135,2020,97.933424952381,"Freirina",100,-71.09324132,-28.50101751,83,2.084309673,324.4623222,1.25,1.25,3,32,0.457831318,0.655789495,0.20704107,0.580149951,0.6828897,0.312459946,0.122318633,0.027100205,0.105418876,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"136",136,136,2020,97.5262731846766,"Freirina",100,-71.09321912,-28.50092762,83,2.084309673,324.4623222,1.25,1.25,3,32,0.460037192,0.651945353,0.20763424,0.573502042,0.663911879,0.300702482,0.11346485,0.011966527,0.093068242,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"137",137,137,2020,92.5052458430737,"Freirina",100,-71.09319709,-28.50084675,83,2.084309673,324.4623222,1.25,1.25,3,32,0.495421219,0.666326523,0.225918695,0.557291653,0.661111116,0.29227367,0.061870434,-0.005215406,0.066354975,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"138",138,138,2020,100.862413186237,"Freirina",100,-71.09317489,-28.50075685,81,2.398265815,315,1,-0.25,3,64,0.492165545,0.675236821,0.245359868,0.566273673,0.663125992,0.304846764,0.074108128,-0.012110829,0.059486896,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"139",139,139,2020,93.4496198641964,"Freirina",100,-71.09315286,-28.50067598,81,2.398265815,315,1,-0.25,3,64,0.484734411,0.660430312,0.235218495,0.546752313,0.658629954,0.294539869,0.062017902,-0.001800358,0.059321374,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"140",140,140,2020,93.1225026286414,"Freirina",100,-71.09311006,-28.50057739,81,2.398265815,315,1,-0.25,3,64,0.483319065,0.659330189,0.230989367,0.544357711,0.657273412,0.294320792,0.061038646,-0.002056777,0.063331425,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"141",141,141,2020,84.7364887224667,"Freirina",100,-71.09309807,-28.50048734,80,1.938484153,270,1,-1,2,32,0.480785646,0.65142858,0.230046302,0.561797754,0.667791486,0.305810392,0.081012108,0.016362906,0.07576409,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"142",142,142,2020,83.8899550760215,"Freirina",100,-71.09306619,-28.50042467,80,1.938484153,270,1,-1,2,32,0.423108926,0.641419053,0.206184193,0.563723785,0.670458734,0.311149031,0.140614859,0.029039681,0.104964837,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"143",143,143,2020,83.944415792583,"Freirina",100,-71.09305419,-28.50033462,80,1.938484153,270,1,-1,2,32,0.440712269,0.631530702,0.218645439,0.546457819,0.642965198,0.294852078,0.10574555,0.011434495,0.076206639,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"144",144,144,2020,86.2802942738725,"Freirina",100,-71.0930327,-28.50028081,80,1.938484153,270,1,-1,2,32,0.446688238,0.63860935,0.221910134,0.534705283,0.642403841,0.292296946,0.088017045,0.003794491,0.070386812,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"145",145,145,2020,86.2187276291486,"Freirina",100,-71.093001,-28.50022716,81,1.71353711,278.1301024,0.875,0.375,2,64,0.446688238,0.63860935,0.221910134,0.534705283,0.642403841,0.292296946,0.088017045,0.003794491,0.070386812,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"146",146,146,2020,94.7989529866333,"Freirina",100,-71.09298919,-28.50014613,81,1.71353711,278.1301024,0.875,0.375,2,64,0.409304284,0.633844674,0.195900843,0.475920668,0.608024716,0.257668704,0.066616384,-0.025819957,0.061767861,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"147",147,147,2020,91.9285114285716,"Freirina",100,-71.09290821,-28.50018347,82,1.998096092,284.0362435,0.875,0.625,3,8,0.409013619,0.618954539,0.196273133,0.472575382,0.592927277,0.251709014,0.063561763,-0.026027262,0.055435881,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"148",148,148,2020,87.3794073176938,"Freirina",100,-71.09294027,-28.50025516,82,1.532725565,251.5650512,0.75,0.5,3,16,0.446688238,0.63860935,0.221910134,0.534705283,0.642403841,0.292296946,0.088017045,0.003794491,0.070386812,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"149",149,149,2020,87.439362948052,"Freirina",100,-71.09295226,-28.50034521,82,1.532725565,251.5650512,0.75,0.5,3,16,0.430185626,0.625688076,0.213827223,0.549861514,0.653490961,0.301977694,0.119675888,0.027802885,0.088150471,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"150",150,150,2020,84.5819458968254,"Freirina",100,-71.09297464,-28.50044412,82,1.532725565,251.5650512,0.75,0.5,3,16,0.458196716,0.645698428,0.225403219,0.568166108,0.664952219,0.312167317,0.109969392,0.01925379,0.086764097,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"151",151,151,2020,91.4079995672383,"Freirina",100,-71.09298627,-28.50051613,82,0.484794463,3.69e-13,0.75,0.5,3,32,0.488907853,0.672256827,0.234068632,0.580298297,0.681180835,0.318343252,0.091390444,0.008924007,0.08427462,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"152",152,152,2020,93.9241103739499,"Freirina",100,-71.09299827,-28.50060618,81,2.398265815,315,1,-0.25,3,64,0.488510626,0.663338065,0.234285712,0.556177796,0.668918908,0.303360045,0.06766717,0.005580842,0.069074333,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
"153",153,153,2020,92.5634870457377,"Freirina",100,-71.09304107,-28.50070478,81,2.398265815,315,1,-0.25,3,64,0.479532168,0.659793794,0.232891545,0.548945005,0.668405414,0.301672786,0.069412837,0.008611619,0.068781242,828.282772,660.5463619,300.7380975,693.1771618,525.4407517,526.3966199,404.8920962,186.6029387,435.984419,314.4798953,207.205014,146.4497588,70.81470595,168.8583232,108.103068,2136.958652,2016.112498,838.764076,1930.499403,1809.653249,2416.768623,2248.024366,929.6279164,2166.872965,1998.128708,2811.378466,2592.392796,1079.786209,2505.916578,2286.930907,293.9444696,320.6251605,367.3316724,308.5190296,343.6565975,400.9375748,236.3005769,265.3461584,311.5169613,120.8461545,168.7442565,218.9856705
