,Minimo,Primer cuartil,Mediana,Media,Tercer Cuartil,Maximo,sd,CV
2017-2018,17,40.5,61,71.45780051,94,244,39.0655942,54.66946075
2018-2019,16,62,80,88.04011461,115,194,34.95027002,39.69811963
