"","Predicho","Observado","Campo","Produccion","ID","Diferencia"
"1",122.312914170168,150.2,"Freirina","2019",3,27.8870858298321
"2",119.564285751422,149.3,"Freirina","2019",4,29.735714248578
"3",98.4762966316738,98.6,"Freirina","2019",5,0.123703368326218
"4",111.680142159093,119.4,"Freirina","2019",6,7.71985784090749
"5",109.978262793034,118.4,"Freirina","2019",7,8.42173720696564
"6",113.744075077073,116.6,"Freirina","2019",8,2.85592492292736
"7",116.295883961891,135.4,"Freirina","2019",9,19.1041160381088
"8",90.3845002011878,96.9,"Freirina","2019",10,6.51549979881217
"9",68.684394584557,37.5,"Freirina","2019",13,-31.184394584557
"10",90.9398562817532,113,"Freirina","2019",14,22.0601437182468
"11",90.4481138721294,114,"Freirina","2019",15,23.5518861278706
"12",75.6382566730686,52.2,"Freirina","2019",16,-23.4382566730686
"13",109.152357983071,156.7,"Freirina","2019",17,47.5476420169286
"14",72.375345558403,38.1,"Freirina","2019",18,-34.275345558403
"15",62.9608401230045,35,"Freirina","2019",20,-27.9608401230045
"16",60.3872510727765,34,"Freirina","2019",21,-26.3872510727765
"17",63.0110136374692,67.7,"Freirina","2019",22,4.68898636253084
"18",60.2973252440961,33.8,"Freirina","2019",23,-26.4973252440961
"19",105.028046150794,125,"Freirina","2019",25,19.9719538492064
"20",109.296904543651,123.3,"Freirina","2019",26,14.003095456349
"21",114.935373724054,151.3,"Freirina","2019",27,36.3646262759461
"22",117.685471526474,138.5,"Freirina","2019",28,20.8145284735265
"23",101.621857639027,119.6,"Freirina","2019",29,17.9781423609725
"24",115.173672080022,133,"Freirina","2019",30,17.8263279199775
"25",115.830735758383,131.5,"Freirina","2019",31,15.6692642416172
"26",122.231954954991,147.8,"Freirina","2019",32,25.5680450450091
"27",114.449790465368,146.5,"Freirina","2019",33,32.0502095346319
"28",93.1166351190477,76.8,"Freirina","2019",34,-16.3166351190477
"29",102.851203290043,97.7,"Freirina","2019",35,-5.15120329004318
"30",100.983450833333,96,"Freirina","2019",36,-4.98345083333331
"31",110.307576666667,115.2,"Freirina","2019",37,4.89242333333344
"32",93.8801140631469,76.7,"Freirina","2019",40,-17.1801140631469
"33",116.187640903541,136.1,"Freirina","2019",41,19.9123590964592
"34",110.994432159075,121,"Freirina","2019",42,10.0055678409249
"35",112.703068916013,131.7,"Freirina","2019",43,18.9969310839866
"36",85.2338603694084,76.9,"Freirina","2019",44,-8.33386036940838
"37",81.2563613485106,72,"Freirina","2019",45,-9.25636134851062
"38",114.360900560403,131,"Freirina","2019",46,16.6390994395971
"39",109.997956200642,115,"Freirina","2019",47,5.00204379935791
"40",81.2230807135642,77.8,"Freirina","2019",48,-3.42308071356423
"41",108.292294119048,118.5,"Freirina","2019",49,10.2077058809523
"42",77.5600338325562,60.1,"Freirina","2019",50,-17.4600338325562
"43",88.0278996825397,62,"Freirina","2019",51,-26.0278996825397
"44",74.7752861428571,63,"Freirina","2019",52,-11.7752861428571
"45",76.7064770238096,59,"Freirina","2019",53,-17.7064770238096
"46",70.3320464647867,60,"Freirina","2019",54,-10.3320464647867
"47",74.1073616885642,56.3,"Freirina","2019",57,-17.8073616885642
"48",68.7904337504531,53.5,"Freirina","2019",58,-15.2904337504531
"49",83.0330689257533,55.7,"Freirina","2019",59,-27.3330689257533
"50",73.6296671391774,74.3,"Freirina","2019",60,0.670332860822555
"51",77.048296744473,72.9,"Freirina","2019",61,-4.14829674447303
"52",76.9543332143951,73,"Freirina","2019",62,-3.95433321439506
"53",90.2813256349206,76,"Freirina","2019",63,-14.2813256349206
"54",87.295682952381,77,"Freirina","2019",64,-10.295682952381
"55",124.612871782107,155,"Freirina","2019",67,30.3871282178933
"56",83.365687,79,"Freirina","2019",68,-4.36568699999995
"57",83.4099476190476,78,"Freirina","2019",69,-5.40994761904759
"58",99.954093952381,90,"Freirina","2019",70,-9.95409395238096
"59",96.334062801726,96.2,"Freirina","2019",71,-0.134062801726046
"60",119.148428916129,144,"Freirina","2019",72,24.851571083871
"61",121.617034035377,145.7,"Freirina","2019",73,24.0829659646234
"62",124.070784964148,153.6,"Freirina","2019",74,29.529215035852
"63",122.731548651737,149.8,"Freirina","2019",75,27.0684513482626
"64",109.036569070263,118.8,"Freirina","2019",78,9.76343092973686
"65",111.93638523761,120.7,"Freirina","2019",79,8.76361476239022
"66",110.510479888889,127.7,"Freirina","2019",83,17.1895201111112
"67",110.338123333333,124.9,"Freirina","2019",85,14.5618766666666
"68",107.997299452381,115.2,"Freirina","2019",86,7.20270054761912
"69",109.372549714286,114.8,"Freirina","2019",87,5.4274502857143
"70",93.1302838611351,97.7,"Freirina","2019",88,4.56971613886493
"71",82.5194000678729,82.6,"Freirina","2019",89,0.0805999321270576
"72",107.188840809524,116.9,"Freirina","2019",90,9.71115919047614
"73",76.4114896737374,57.2,"Freirina","2019",91,-19.2114896737374
"74",74.4799656739715,76.2,"Freirina","2019",92,1.72003432602845
"75",62.2114287519578,35.4,"Freirina","2019",93,-26.8114287519578
"76",82.1415749671311,53.1,"Freirina","2019",94,-29.0415749671311
"77",67.9770559493282,38.6,"Freirina","2019",95,-29.3770559493282
"78",71.1689944230771,57.9,"Freirina","2019",96,-13.2689944230771
"79",80.46454448707,90.7,"Freirina","2019",97,10.23545551293
"80",84.5988823961039,77.2,"Freirina","2019",98,-7.39888239610387
"81",104.061667388134,115.9,"Freirina","2019",99,11.8383326118663
"82",115.064846666667,135.8,"Freirina","2019",102,20.7351533333332
"83",97.0504520873017,81.4,"Freirina","2019",103,-15.6504520873017
"84",85.5646766666665,58.1,"Freirina","2019",104,-27.4646766666665
"85",72.7634285714286,36.8,"Freirina","2019",105,-35.9634285714286
"86",117.558356,151.8,"Freirina","2019",106,34.2416439999997
"87",105.629175833333,116.9,"Freirina","2019",107,11.2708241666667
"88",76.1519920244568,61.7,"Freirina","2019",108,-14.4519920244568
"89",105.968127218463,139.2,"Freirina","2019",109,33.2318727815367
