Idshp,Produccion,Kg arbol,Campo,Marco,Lon,Lat,DEM,slope,aspect,tri,tpi,roughness,flowdir,NDVISep,gNDVISep,SAVISep,NDVIEne,gNDVIEne,SAVIEne,DifNDVISepEne,DifgNDVISepEne,DifSAVISepEne,DG10ABRNOV,DG10ABROCT,DG10AGOOCT,DG10MAYNOV,DG10MAYOCT,DG12ABRNOV,DG12ABROCT,DG12AGOOCT,DG12MAYNOV,DG12MAYOCT,DG15ABRNOV,DG15ABROCT,DG15AGOOCT,DG15MAYNOV,DG15MAYOCT,CH10ABRNOV,CH10ABROCT,CH10AGOOCT,CH10MAYNOV,CH10MAYOCT,CH12ABRNOV,CH12ABROCT,CH12AGOOCT,CH12MAYNOV,CH12MAYOCT,CH15ABRNOV,CH15ABROCT,CH15AGOOCT,CH15MAYNOV,CH15MAYOCT,CH10ago,CH12ago,CH15ago,CH10sep,CH12sep,CH15sep,CH10oct,CH12oct,CH15oct,CH10nov,CH12nov,CH15nov
23,2019,33.8,Freirina,100,-71.09396307,-28.5013583,80,1.454105826,270,0.75,0.5,3,32,0.580897485,0.678321719,0.284897029,0.474559694,0.653318703,0.206558779,-0.106337791,-0.025003016,-0.078338251,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
25,2019,125,Freirina,100,-71.09390809,-28.50116063,80,2.084309673,305.5376778,0.875,-0.375,3,64,0.578004065,0.696890056,0.285513073,0.483486232,0.650000036,0.220194981,-0.094517833,-0.04689002,-0.065318093,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
26,2019,123.3,Freirina,100,-71.09388589,-28.50107074,80,2.084309673,305.5376778,0.875,-0.375,3,64,0.575878591,0.681295276,0.288246274,0.506874407,0.670731723,0.230994135,-0.069004184,-0.010563552,-0.057252139,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
27,2019,151.3,Freirina,100,-71.09386422,-28.50100791,79,1.845447935,293.1985905,1.125,-1.125,3,16,0.578988343,0.68451643,0.294848084,0.480193226,0.658008635,0.210891083,-0.098795117,-0.026507795,-0.083957002,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
28,2019,138.5,Freirina,100,-71.09383162,-28.50090915,79,1.845447935,293.1985905,1.125,-1.125,3,16,0.582711187,0.699578047,0.294831008,0.520260842,0.675564647,0.234434038,-0.062450345,-0.0240134,-0.060396969,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
29,2019,119.6,Freirina,100,-71.09380924,-28.50081024,79,1.845447935,293.1985905,1.125,-1.125,3,16,0.590309924,0.668785036,0.318368107,0.452015338,0.624261916,0.199463576,-0.138294586,-0.04452312,-0.118904531,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
30,2019,133,Freirina,100,-71.09379725,-28.50072019,80,1.454105826,270,0.75,0.5,3,32,0.509618741,0.635468006,0.278088808,0.433124084,0.614798665,0.190284252,-0.076494657,-0.020669341,-0.087804556,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
31,2019,131.5,Freirina,100,-71.09376501,-28.50063948,80,1.454105826,270,0.75,0.5,3,32,0.502894351,0.638658762,0.268547148,0.377201119,0.580851078,0.170578375,-0.125693232,-0.057807684,-0.097968772,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
32,2019,147.8,Freirina,100,-71.09374281,-28.50054959,80,1.454105826,270,0.75,0.5,3,32,0.5293233,0.634391367,0.275718004,0.41519926,0.613312244,0.187761948,-0.11412404,-0.021079123,-0.087956056,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
33,2019,146.5,Freirina,100,-71.09373064,-28.50045052,80,1.71353711,261.8698976,0.75,0.5,3,16,0.539867105,0.661290348,0.263228923,0.507136863,0.640767813,0.245461941,-0.032730242,-0.020522535,-0.017766982,1091.282333,894.2469481,427.5536891,935.9423401,738.9069547,756.531781,608.9959915,298.3907931,647.488399,499.9526094,378.0799698,296.2268556,153.0506195,325.33845,243.4853357,1671.082273,1601.914383,617.9506434,1503.285915,1434.118025,1916.422201,1798.651458,708.9971398,1707.959706,1590.188963,2208.224533,2047.035567,832.3239363,1951.758613,1790.569647,291.5560415,318.1922053,360.6088338,203.5360886,235.7814944,278.5593042,122.8585134,155.0234401,193.1557984,69.16789008,117.7707423,161.1889663
